sn,invertersn,temperature,vpv1,vpv2,vpv3,vpv4,vpv5,vpv6,vpv7,vpv8,vpv9,vpv10,vpv11,vpv12,vpv13,vpv14,vpv15,vpv16,vpv17,vpv18,vpv19,vpv20,vpv21,vpv22,vpv23,vpv24,vpv25,vpv26,vpv27,vpv28,vpv29,vpv30,ipv1,ipv2,ipv3,ipv4,ipv5,ipv6,ipv7,ipv8,ipv9,ipv10,ipv11,ipv12,ipv13,ipv14,ipv15,ipv16,ipv17,ipv18,ipv19,ipv20,ipv21,ipv22,ipv23,ipv24,ipv25,ipv26,ipv27,ipv28,ipv29,ipv30,vac1,vac2,vac3,iac1,iac2,iac3,fac1,fac2,fac3,pac,eday,etotal,ttotal,switchstatus,powercurvenumber,errorcode,alertcode,alertcodelist,errorcodelist,createtime,outputpowerratio,activepower,reactivepower,inspectingpower,powerfactor,etl_time,ds
TP40KBT000B231023018,TP40KBT000B231023018,14.7,474.8,474.8,474.8,474.8,475.4,475.4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,238.2,238.3,239.9,0,0,0,50.01,50.01,50.01,0,0,60051.8,5068,0,0,0,0,\N,\N,2025-08-03 04:25:44,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,2025-08-03 04:30:44,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,16,567.2,567.2,567.3,567.3,567.7,567.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,237.8,237.7,239.7,0,0,0,50.04,50.04,50.04,0,0,60051.8,5068,0,0,0,0,\N,\N,2025-08-03 04:35:44,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,16.4,586,586,586.2,586.2,586.4,586.4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,236.4,237.5,239.7,0,0,0,50.03,50.03,50.03,0,0,60051.8,5068,1,0,0,0,\N,\N,2025-08-03 04:40:45,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,16.7,529.9,529.9,437.5,437.5,521,521,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.1,0,0.1,0,0.3,-0.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,237,237.6,239.7,1.9,1.9,1.9,50.02,50.02,50.02,57,0,60051.8,5068,1,0,0,0,\N,\N,2025-08-03 04:45:45,0,57,-9,58,-0.99,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,17.1,510,510,453.4,453.4,525,525,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.1,0,0.2,0,0.3,-0.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,237.9,237.6,239.9,2,2,2,50.04,50.04,50.04,113,0,60051.8,5069,1,0,0,0,\N,\N,2025-08-03 04:50:45,0,113,13,114,0.99,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,17.7,493.9,493.9,509.3,509.3,493.1,493.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.2,0,0.2,0,0.3,-0.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,237,236.1,239.1,2,2,2,50.02,50.02,50.02,237,0,60051.8,5069,1,0,0,0,\N,\N,2025-08-03 04:55:45,0.01,237,-47,241,-0.98,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,18,465.9,465.9,541.3,541.3,473,473,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.2,0,0.3,0,0.4,-0.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,237.1,236.4,238.9,1.7,1.7,1.7,49.96,49.96,49.96,335,0,60051.8,5069,1,0,0,0,\N,\N,2025-08-03 05:00:45,0.01,335,229,406,0.83,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,18.7,551.9,551.9,535.3,535.3,586.9,586.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.3,0,0.3,0,0.4,-0.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,237.5,236.1,238.3,1.9,1.9,1.9,50.02,50.02,50.02,468,0,60051.8,5069,1,0,0,0,\N,\N,2025-08-03 05:05:46,0.01,468,13,468,1,2025-08-04 02:34:14,20250803
TP40KBT000B231023018,TP40KBT000B231023018,19.3,535.9,535.9,539.3,539.3,578.9,578.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.3,0.1,0.4,0,0.5,-0.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,238.2,234.1,239.3,1.9,2,1.9,49.97,49.97,49.97,567,0.1,60051.9,5069,1,0,0,0,\N,\N,2025-08-03 05:10:47,0.01,567,11,567,1,2025-08-04 02:34:14,20250803
